STATISTICS FOR VAR:RAIN DOMAIN:AIMRR PERIOD:JJAS DATA_TYPE:1m MASK:SEA+HIGH
tr12_bmj01ml60     0.987110      0.00000
     0.685437      1.51795
     0.966323      0.00000
OK
STATISTICS FOR VAR:RAIN DOMAIN:AIMRR PERIOD:JJA DATA_TYPE:1m MASK:SEA
EXP CORR1D BIAS(%) RMSE CORR2D
tr075_ra12L60     0.834638      0.00000
      13.3721      1.05386
     0.359882      0.00000
tr025_ra12L60     0.895722      0.00000
      16.0521     0.890459
     0.642870      0.00000
tr12_bmj01ml60     0.925371      0.00000
      16.8294     0.783637
     0.678502      0.00000
OK
STATISTICS FOR VAR:SKT DOMAIN:AIMRR PERIOD:JJA DATA_TYPE:1m MASK:SEA
EXP CORR1D BIAS(%) RMSE CORR2D
tr075_ra12L60     0.986189      0.00000
      17.9072      3.35017
     0.943330      0.00000
tr025_ra12L60     0.991234      0.00000
      13.4055      2.80306
     0.937350      0.00000
tr12_bmj01ml60     0.990219      0.00000
      14.7643      2.93565
     0.933074      0.00000
OK
STATISTICS FOR VAR:RAIN DOMAIN:AIMRR PERIOD:JJAS DATA_TYPE:1m MASK:SEA
EXP CORR1D BIAS(%) RMSE CORR2D
tr075_ra12L60_sol094     0.793316      0.00000
      7.33137      1.15522
     0.359762      0.00000
tr025_ra12L60_sol094     0.838615      0.00000
      9.73733      1.04464
     0.676674      0.00000
OK
  0.922959      0.00000
     -7.45297      1.02149
     0.773562      0.00000
OK
000
OK
STATISTICS FOR VAR:Q2 DOMAIN:AIMRR PERIOD:JJA DATA_TYPE:1m MASK:SEA
EXP CORR1D BIAS(%) RMSE CORR2D
tr075_ra12L60     0.965679      0.00000
     -18.0915      1.79737
     0.845821      0.00000
OK
STATISTICS FOR VAR:T2 DOMAIN:AIMRR PERIOD:JJA DATA_TYPE:1m MASK:SEA
EXP CORR1D BIAS(%) RMSE CORR2D
tr075_ra12L60     0.983510      0.00000
      4.09358      1.71731
     0.977138      0.00000
OK
